,Size of filter(bits),Ideal FPR,Standard Filter Total Creation Time(sec),Average Standard Filter Total Creation Time(sec),Projection FPR for iteration,Average Projection FPR,Projection Filter Total Creation Time(sec),Average Projection Filter Total Creation Time(sec)
0,10,0.9999999718152583,0.0021320690002539777,0.0022006086001056246,0.8695652173913043,0.8666666666666666,0.13173034000010375,0.22020860420016106
1,20,0.999788945375466,0.0016574909996052156,0.004694604999713192,0.782608695652174,0.7884057971014492,0.16166686999986268,0.3090633104000517
2,30,0.9962789746854663,0.0023872860001574736,0.0019127068000670989,0.7391304347826086,0.826086956521739,0.10875969299922872,0.23661041779978403
3,40,0.9846622522737964,0.0017634539999562548,0.0015341337999416282,0.8405797101449275,0.7420289855072465,0.16890887600038695,0.2605024095999397
4,50,0.9643300509288539,0.0018231390004075365,0.002392359399891575,0.7391304347826086,0.7159420289855073,0.12436615199931111,0.21564005779964646
5,60,0.9375366017759895,0.0010721790004026843,0.00728703040003893,0.6956521739130435,0.6318840579710144,0.12040139900000213,0.26706233940021773
6,70,0.90690564028308,0.0017428249993827194,0.0015558981998765376,0.5362318840579711,0.5797101449275364,0.2659177120003733,0.3680088274004447
7,80,0.8745062175830401,0.005484477000209154,0.0026407503999507755,0.6086956521739131,0.6,0.4601162580001983,0.2617060438000408
8,90,0.8417524339822481,0.0015232000005198643,0.002462085000115621,0.6086956521739131,0.591304347826087,0.44839761500043096,0.30038485820005006
9,100,0.8095385402349726,0.003105325999968045,0.002209002799645532,0.5072463768115942,0.5710144927536231,0.20173328900000342,0.2575119769999219
10,110,0.7783952275335484,0.0009755680002854206,0.003440862800016475,0.5942028985507246,0.5246376811594202,0.24150473400004557,0.2754288070002076
11,120,0.74861287457057,0.0010369370002081268,0.0023787628000718542,0.5217391304347826,0.5246376811594203,0.1156645760001993,0.235168075600086
12,130,0.7203279481074515,0.0008836859997245483,0.001905201599947759,0.5652173913043478,0.481159420289855,0.09577123399958509,0.23377833659978933
13,140,0.69358067255333,0.001170235999779834,0.006204279199846496,0.5217391304347826,0.48985507246376814,0.20099930100059282,0.1970213328000682
14,150,0.668352640543964,0.0008290730002045166,0.0017235083998457413,0.3333333333333333,0.44927536231884063,0.07831638000061503,0.16409502000042267
15,160,0.6445910381140876,0.0010328870002922486,0.0035360364003281576,0.463768115942029,0.4782608695652174,0.11910050200003752,0.3690129900000102
16,170,0.6222241130980086,0.0009531739997328259,0.002002957399963634,0.391304347826087,0.41739130434782606,0.1649741190003624,0.3213101880000977
17,180,0.6011709632185152,0.0008597449996159412,0.0022876973998791073,0.4782608695652174,0.39710144927536234,0.11312553500010836,0.19264645460025348
18,190,0.5813476519143117,0.0028174199997010874,0.0023262237999006176,0.43478260869565216,0.3855072463768116,0.23041046600064874,0.27329429960009294
19,200,0.5626709537099998,0.0030269620001490694,0.001732525999977952,0.30434782608695654,0.3681159420289855,0.3230374029999439,0.2265529558000708
20,210,0.5450605720093926,0.006015279000166629,0.0025847141998383448,0.4057971014492754,0.37681159420289856,0.17482052400009707,0.19939004559964815
21,220,0.5284403757665876,0.001491277000241098,0.00219926839999971,0.2608695652173913,0.28695652173913044,0.3105135710002287,0.2866225827998278
22,230,0.5127390100903142,0.012967014999958337,0.003918142800102942,0.4492753623188406,0.42028985507246375,0.21175542499986477,0.22752998120013218
23,240,0.49789011194080357,0.003097608000643959,0.0016584838003836921,0.3188405797101449,0.3159420289855073,0.08369912099988142,0.21786432519984372
24,250,0.4838322815688234,0.0008315730001413613,0.001796805000230961,0.36231884057971014,0.391304347826087,0.1262876269993285,0.17076950819991907
25,260,0.4705089078082364,0.0023540419997516437,0.001564041199890198,0.34782608695652173,0.2985507246376812,0.22784847200000513,0.17458463159982784
26,270,0.45786791091125845,0.0020460830000956776,0.004575911000210908,0.2898550724637681,0.2840579710144927,0.0880111090000355,0.14505583040008788
27,280,0.44586144398834726,0.0013411999998425017,0.001150833599967882,0.2463768115942029,0.336231884057971,0.06982295899979363,0.20966257319996656
28,290,0.43444557920827875,0.001679629999671306,0.0017545901997436885,0.2463768115942029,0.25507246376811593,0.09154202200079453,0.21339687220006454
29,300,0.4235799950874455,0.001307112999711535,0.0032270191999486998,0.34782608695652173,0.35072463768115936,0.24877807199936797,0.21000741179977922
30,310,0.4132276747280149,0.0023223049993248424,0.0034558503997686786,0.2028985507246377,0.3188405797101449,0.16609675400013657,0.2539840531999289
31,320,0.4033546206226405,0.0010042309995696996,0.007251975999861315,0.3333333333333333,0.336231884057971,0.08557467500031635,0.19921402860018134
32,330,0.39392958888306695,0.001679005999903893,0.001608487599878572,0.2608695652173913,0.2753623188405797,0.09958463900056813,0.19579680660026497
33,340,0.3849238439767193,0.0009905049992084969,0.001449774799766601,0.36231884057971014,0.26666666666666666,0.06847984399973939,0.11646439939977427
34,350,0.37631093393912407,0.0008503129993187031,0.0016310073995555285,0.2608695652173913,0.3217391304347826,0.07104796299972804,0.13147747699986212
35,360,0.3680664853512967,0.001703702999293455,0.002429389999633713,0.2608695652173913,0.30144927536231886,0.08508835599968734,0.2009175241997582
36,370,0.36016801698114476,0.0008123450006678468,0.002182881600310793,0.11594202898550725,0.19710144927536236,0.07314354400023149,0.17680648260011367
37,380,0.352594770787204,0.0008201909995477763,0.0014310127999124234,0.3188405797101449,0.31014492753623185,0.09377974800008815,0.16586823379984708
38,390,0.3453275589054591,0.001166663000731205,0.0019249454002419953,0.3188405797101449,0.27826086956521734,0.07720308999978442,0.11814602519989421
39,400,0.33834862523971565,0.0008186779996322002,0.0011173201995916316,0.11594202898550725,0.21449275362318837,0.11038511500009918,0.12740425059982954
40,410,0.3316415203233418,0.0010547800002314034,0.001767670000117505,0.43478260869565216,0.2898550724637681,0.07878672300012113,0.16908001179999702
41,420,0.325190988195187,0.0015530099999523372,0.004721041400262038,0.21739130434782608,0.23478260869565215,0.07830152499991527,0.2150678091998998
42,430,0.31898286412185617,0.0011576300003071083,0.0024085044000457857,0.2318840579710145,0.2289855072463768,0.07151458799944521,0.18829721359998075
43,440,0.3130039820929841,0.0011352430001352332,0.0037466656001925005,0.14492753623188406,0.255072463768116,0.10061060499992891,0.1626546812000015
44,450,0.30724209111164125,0.0015012539997769636,0.006742981400020653,0.2028985507246377,0.2579710144927536,0.07329479600048217,0.14272154880018206
45,460,0.3016857793933656,0.001229592000527191,0.0013698266000574221,0.2318840579710145,0.22318840579710147,0.08986828199977026,0.12039822639999329
46,470,0.2963244056741656,0.000967422999565315,0.001110924999920826,0.18840579710144928,0.2434782608695652,0.07646670200028893,0.12622310939987075
47,480,0.2475350007835613,0.002096854999763309,0.0065787696001279984,0.18840579710144928,0.18550724637681162,0.10144614700038801,0.256473258799997
48,490,0.24050633633493534,0.0011605649997363798,0.002566537200073071,0.2608695652173913,0.1739130434782609,0.13104104299964092,0.18738796140005434
49,500,0.23376270586096642,0.004746399000396195,0.0025753812000402832,0.2608695652173913,0.2318840579710145,0.07817087900002662,0.16965678579999804
50,510,0.2272896184128857,0.0013714420001633698,0.004581421799957752,0.21739130434782608,0.17391304347826086,0.1177633560000686,0.19460998020022088
51,520,0.22107342862356877,0.0011358030005794717,0.0016263951998553238,0.15942028985507245,0.18840579710144928,0.09869068900025013,0.11938605920004193
52,530,0.21510128516165566,0.001462453999920399,0.0016832284001793596,0.15942028985507245,0.1565217391304348,0.09378624700002547,0.1257034038000711
53,540,0.2093610818775728,0.0011788429992520832,0.001271388999703049,0.10144927536231885,0.19420289855072465,0.10423646199978975,0.16346797039986996
54,550,0.2038414116417214,0.0014242850002119667,0.0019053123996854993,0.14492753623188406,0.19420289855072465,0.0945944180002698,0.17920850280006562
55,560,0.19853152283457146,0.0013834219998898334,0.0019398605998503626,0.2028985507246377,0.21449275362318837,0.08465664899995318,0.15464553019992308
56,570,0.19342127841896853,0.003255781999541796,0.002440633600053843,0.2028985507246377,0.21739130434782608,0.10044832099993073,0.16836099400006788
57,580,0.18850111750469797,0.0011389480005163932,0.0030949085999964153,0.17391304347826086,0.19420289855072462,0.08420435300013196,0.19141565299996727
58,590,0.1837620193016994,0.002102382999510155,0.00486268079985166,0.18840579710144928,0.2289855072463768,0.10020196299956297,0.29594585539998663
59,600,0.17919546934956804,0.0027047160001529846,0.0030986493999080266,0.15942028985507245,0.1681159420289855,0.09780849299932015,0.2752602779997687
